field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY107-LY111)
jenis_kebijakan,Jenis Kebijakan,enum,NULL,true,false,NULL,none,"Kebijakan Konsumsi,Pedoman B2SA,Penganekaragaman Pangan,Sinkronisasi,Rekomendasi Intervensi",Jenis kebijakan
nomor_dokumen,Nomor Dokumen,varchar,100,false,false,NULL,none,NULL,Nomor dokumen kebijakan
tanggal_dokumen,Tanggal Dokumen,date,NULL,true,false,NULL,none,NULL,Tanggal ditetapkan
periode,Periode,varchar,50,false,false,NULL,none,NULL,Periode berlaku
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
judul_kebijakan,Judul Kebijakan,varchar,255,true,false,NULL,none,NULL,Judul dokumen
latar_belakang,Latar Belakang,text,NULL,false,false,NULL,none,NULL,Background kebijakan
ruang_lingkup,Ruang Lingkup,text,NULL,false,false,NULL,none,NULL,Cakupan kebijakan
tujuan,Tujuan,text,NULL,false,false,NULL,none,NULL,Tujuan kebijakan
sasaran,Sasaran,text,NULL,false,false,NULL,none,NULL,Sasaran yang ingin dicapai
prinsip_b2sa,Prinsip B2SA,text,NULL,false,false,NULL,none,NULL,Beragam Bergizi Seimbang Aman
pedoman_b2sa,Pedoman B2SA,text,NULL,false,false,NULL,none,NULL,Pedoman konsumsi B2SA
skor_pph_target,Skor PPH Target,decimal,"5,2",false,false,90,none,NULL,Target Skor Pola Pangan Harapan
strategi_penganekaragaman,Strategi Penganekaragaman,text,NULL,false,false,NULL,none,NULL,Strategi diversifikasi konsumsi
pangan_lokal_prioritas,Pangan Lokal Prioritas,text,NULL,false,false,NULL,none,NULL,Pangan lokal yang diprioritaskan
target_konsumsi_lokal,Target Konsumsi Lokal,text,NULL,false,false,NULL,none,NULL,Target konsumsi pangan lokal
intervensi_konsumsi,Intervensi Konsumsi,text,NULL,false,false,NULL,none,NULL,Jenis intervensi konsumsi
kelompok_sasaran,Kelompok Sasaran,text,NULL,false,false,NULL,none,NULL,Sasaran intervensi
wilayah_prioritas,Wilayah Prioritas,text,NULL,false,false,NULL,none,NULL,Wilayah prioritas intervensi
koordinasi_dengan,Koordinasi Dengan,text,NULL,false,false,NULL,none,NULL,Instansi yang terlibat
hasil_sinkronisasi,Hasil Sinkronisasi,text,NULL,false,false,NULL,none,NULL,Hasil sinkronisasi pusat-daerah
rekomendasi,Rekomendasi,text,NULL,false,false,NULL,none,NULL,Rekomendasi kebijakan
indikator_keberhasilan,Indikator Keberhasilan,text,NULL,false,false,NULL,none,NULL,Indikator keberhasilan
target_capaian,Target Capaian,text,NULL,false,false,NULL,none,NULL,Target yang ingin dicapai
dasar_hukum,Dasar Hukum,text,NULL,false,false,NULL,none,NULL,Landasan hukum
tindak_lanjut,Tindak Lanjut,text,NULL,false,false,NULL,none,NULL,Rencana tindak lanjut
file_dokumen,File Dokumen,varchar,255,false,false,NULL,none,NULL,Upload dokumen kebijakan PDF
file_lampiran,File Lampiran,json,NULL,false,false,NULL,none,NULL,Array file lampiran
rincian_layanan,Rincian Layanan,text,NULL,false,false,NULL,none,NULL,Detail layanan
penanggung_jawab,Penanggung Jawab,varchar,255,true,false,Kepala Bidang Konsumsi,none,NULL,PIC
pelaksana,Pelaksana,varchar,255,true,false,NULL,none,NULL,Yang melaksanakan
kelompok_penerima,Kelompok Penerima,varchar,255,false,false,NULL,none,NULL,Siapa yang menerima
jenis_data,Jenis Data,varchar,255,false,false,NULL,none,NULL,Jenis data
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Sensitif,none,"Biasa,Sensitif",Semua kebijakan sensitif
status,Status,enum,NULL,true,false,draft,none,"draft,review,finalisasi,disetujui,final",Status dokumen
keterangan,Keterangan,text,NULL,false,false,NULL,none,NULL,Catatan
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
