kategori_risiko,nama_risiko,klasifikasi_unit
"Risiko Fraud","pencurian uang kas di bendahara",Sekretariat
"Risiko Operasional","Bendahara salah transfer",Sekretariat
"Risiko Fraud","Pegawai Memanipulasi Dokumen Hasil Tindak Lanjut Pengawasan",Sekretariat
"Risiko Stakeholder","Terjadinya kondisi makro yang berpengaruh buruk pada kemampuan badan usaha menghasilkan pendapatan",Sekretariat
"Risiko Operasional","Tidak tersedianya sarana transportasi yang memadai menuju lokasi pengawasan",Sekretariat
"Risiko Operasional","Tampilan Laporan tidak menarik",Sekretariat
"Risiko Kepatuhan","Inovasi SPBE tidak melalui pengajuan dan persetujuan Pusinfowas",Sekretariat
"Risiko Fraud","Arsip penting dihilangkan secara sengaja",Sekretariat
"Risiko Fraud","Pegawai membocorkan data/infromasi kepada pihak luar",Sekretariat
"Risiko Fraud","Pengadaan Fiktif",Sekretariat
"Risiko Fraud","Plagiarisme dalam materi modul diklat",Sekretariat
"Risiko Fraud","Konflik kepentingan dalam pemilihan WI/pengajar diklat",Sekretariat
"Risiko Fraud","Panitia Diklat sengaja menetapkan calon peserta yang tidak memenuhi syarat sebagai peserta diklat",Sekretariat
"Risiko Fraud","Penetapan WI/Pengajar Diklat yang tidak sesuai ketentuan",Sekretariat
"Risiko Fraud","Pemilihan vendor/hotel sebagai lokasi diklat dengan motif imbalan atau bonus menginap dari pihak vendor/hotel",Sekretariat
"Risiko Fraud","Peserta diklat mencontek pada saat ujian/pretest/postest",Sekretariat
"Risiko Fraud","Panitia diklat membocorkan naskah ujian kepada peserta diklat",Sekretariat
"Risiko Fraud","Panitia diklat menjual naskah ujian sertifikasi kepada peserta diklat",Sekretariat
"Risiko Fraud","Kecurangan dalam penetapan kelulusan ujian sertfikasi",Sekretariat
"Risiko Fraud","Panitia diklat tidak meluluskan peserta diklat karena konflik kepentingan",Sekretariat
"Risiko Fraud","Tim Penilai Kinerja menerima gratifikasi",Sekretariat
"Risiko Fraud","Memalsukan data koordinat saat menggunakan aplikasi presensi",Sekretariat
"Risiko Fraud","Penyajian laporan lebih tinggi dari seharusnya (Overstatement)",Sekretariat
"Risiko Fraud","Tim penyusun kebijakan nasional pengawasan intern terlibat konfilk kepentingan dengan pemangku kepentingan",Sekretariat
"Risiko Fraud","Manipulasi Hasil Rakornaswasin",Sekretariat
"Risiko Fraud","Penyalahgunaan Informasi Rakornaswasin",Sekretariat
"Risiko Fraud","Pegawai menyembunyikan informasi penting atas permintaan penugasan",Sekretariat
"Risiko Fraud","Manipulasi dalam penentuan tim penugasan",Sekretariat
"Risiko Fraud","Manipulasi anggaran penugasan",Sekretariat
"Risiko Fraud","Manipulasi Program Kerja Pengawasan",Sekretariat
"Risiko Fraud","Pegawai menyusun ST fiktif",Sekretariat
"Risiko Fraud","Penggelembungan Biaya Penugasan",Sekretariat
"Risiko Fraud","Pegawai melakukan tindak pidana korupsi",Sekretariat
"Risiko Fraud","Pegawai terlibat praktik kolusi dengan mitra kerja",Sekretariat
"Risiko Fraud","Pegawai melakukan praktitk nepotisme",Sekretariat
"Risiko Fraud","Pegawai Memalsukan dokumen bukti dukung penugasan pengawasan",Sekretariat
"Risiko Fraud","Manipulasi Data Dukung Pengawasan",Sekretariat
"Risiko Fraud","Pegawai terlibat praktik KKN dengan mitra kerja",Sekretariat
"Risiko Fraud","Pegawai memalsukan dokumen JFA",Sekretariat
"Risiko Fraud","Manipulasi Database JFA",Sekretariat
"Risiko Fraud","Penyalahgunaan akses data sistem informasi",Sekretariat
"Risiko Fraud","Pegawai menyalahgunaan Dana Pelatihan/sertifikasi",Sekretariat
"Risiko Fraud","Panitia memanipulasi Data Calon Peserta Pelatihan/sertifikasi",Sekretariat
"Risiko Fraud","Calon peserta sertifikasi memanipulasi data persyaratan",Sekretariat
"Risiko Fraud","Pegawai memalsukan hasil temuan pengawasan",Sekretariat
"Risiko Fraud","Penghilangan informasi penting hasil pengawasan",Sekretariat
"Risiko Fraud","Pegawai memalsukan tanda tangan pimpinan / pejabat / pegawai yang berwenang",Sekretariat
"Risiko Fraud","Manipulasi data hasil pengawasan",Sekretariat
"Risiko Fraud","Pemalsuan data pada aplikasi",Sekretariat
"Risiko Fraud","Pemalsuan Informasi",Sekretariat
"Risiko Fraud","Pemalusuan Konten Informasi Digital",Sekretariat
"Risiko Fraud","Pemalsuan Press Conference / press release",Sekretariat
"Risiko Fraud","Pemalsuan Identitas",Sekretariat
"Risiko Fraud","Analisis isu tidak jujur dan sesuai fakta",Sekretariat
"Risiko Fraud","Penilaian Risiko atas Isu tidak Objektif",Sekretariat
"Risiko Fraud","Pegawai melakukan pemerasan",Sekretariat
"Risiko Fraud","Penyalahgunaann Informasi Rahasia",Sekretariat
"Risiko Fraud","Pemalsuan permintaan informasi publik",Sekretariat
"Risiko Fraud","Penyalahgunaan data informasi publik",Sekretariat
"Risiko Fraud","Pemalsuan informasi PUblik",Sekretariat
"Risiko Fraud","Pegawai memalsukan rencana publikasi",Sekretariat
"Risiko Fraud","Pegawai mempublikasi Informasi Palsu atau Tidak Akurat",Sekretariat
"Risiko Fraud","Pegawai tidak bersedia membayar ganti rugi ikatan dinas",Sekretariat
"Risiko Fraud","Pegawai menerima suap terkait proses revisi anggaran",Sekretariat
"Risiko Fraud","Pegawai memberikan gratifikasi",Sekretariat
"Risiko Fraud","Pertanggungjawaban belanja fiktif",Sekretariat
"Risiko Fraud","Pegawai pengujian tagihan dan verifikasi PPK menerima suap/pelicin",Sekretariat
"Risiko Fraud","Penyewaan BMN tidak dilaporkan ke Kementerian Keuangan",Sekretariat
"Risiko Fraud","BMN dikuasai oleh pihak ketiga tanpa adanya pungutan PNBP",Sekretariat
"Risiko Fraud","Instansi pemberi sewa membantu sebagian pembayaran PNBP rekanan",Sekretariat
"Risiko Fraud","Pemalsuan Dokumen",Sekretariat
"Risiko Fraud","Rekayasa laporan keuangan saat pelaksanaan PPIPK",Sekretariat
"Risiko Fraud","Pemalsuan atribut pengendalian",Sekretariat
"Risiko Fraud","Prinsip akuntansi yang salah diterapkan secara sengaja",Sekretariat
"Risiko Fraud","Pembangunan fisik gedung belum rampung namun dilaporkan telah selesai pada akhir tahun",Sekretariat
"Risiko Fraud","Penggantian uang sewa rumah dinas dari penghuni baru kepada penghuni lama",Sekretariat
"Risiko Fraud","Kendaraan dinas digunakan tidak sesuai peruntukannya",Sekretariat
"Risiko Fraud","Pegawai menjual sarana dan prasarana kantor",Sekretariat
"Risiko Fraud","Dokumen tidak diarsipkan secara sengaja",Sekretariat
"Risiko Operasional","Keterlambatan respons terhadap isu strategis",Sekretariat
"Risiko Operasional","Implementasi reward and punishment berdasarkan evaluasi kinerja belum dilaksanakan di unit kerja",Sekretariat
"Risiko Operasional","Media digital yang diserahkan auditan berada dalam keadaan rusak.",Sekretariat
"Risiko Operasional","Terjadi kerusakan pada media digital milik auditan ketika proses akuisisi.",Sekretariat
"Risiko Operasional","Informasi Hasil Pengawasan Terlambat disampaikan",Sekretariat
"Risiko Operasional","Substansi laporan tidak sesuai dengan pedoman",Sekretariat
"Risiko Operasional","Pemantauan tindak lanjut terhadap hasil kegiatan Consulting tidak dilaksanakan",Sekretariat
"Risiko Fraud","Manipulasi Data",Sekretariat
"Risiko Operasional","Penyerapan anggaran yg tidak memenuhi target setiap triwulan",Sekretariat
"Risiko Operasional","Deviasi antara rencana penarikan dana dan realisasi setiap triwulan",Sekretariat
"Risiko Operasional","Terlambatnya penyediaan ATK dan Keperluan perkantoran lainnya",Sekretariat
"Risiko Operasional","Keterlambatan pembayaran KP/KJ/KGB/Pensiun/Uang Makan/Gaji dan tukin",Sekretariat
"Risiko Operasional","Double pembayaran untuk penugasan lebih dari satu sumber dana",Sekretariat
"Risiko Operasional","Tidak terlaksananya program pembinaan JFA yang telah disusun",Sekretariat
"Risiko Operasional","Terlambatnya penyusunan grand design pembinaan JFA",Sekretariat
"Risiko Operasional","Tidak terlaksananya kegiatan/program yang bersumber dari pembiayaan Loan",Sekretariat
"Risiko Operasional","Kegagalan dalam mempertahankan nilai atau hasil sertifikasi ISO",Sekretariat
"Risiko Operasional","Keterlambatan penyusunan laporan Survei Kepuasan Masyarakat/Layanan",Sekretariat
"Risiko Operasional","Proses penerbitan nomor keanggotaan AAIPI terlalu lama",Sekretariat
"Risiko Operasional","Penetapan RMP pengawasan tidak sesuai dengan pertimbangan jadwal unit kerja",Sekretariat
"Risiko Operasional","APP/APPD belum menjadi indikator kinerja",Sekretariat
"Risiko Kepatuhan","Area of Improvement (AoI) yang disusun tidak ditindaklanjuti",Sekretariat
"Risiko Operasional","Area of Improvement (AoI) yang disusun tidak tepat",Sekretariat
"Risiko Stakeholder","Penilaian responden tidak sesuai dengan keadaan yang sebenarnya",Sekretariat
"Risiko Operasional","Data kecurangan peserta ujian tidak akurat",Sekretariat
"Risiko Operasional","Kegiatan consulting (Bimbingan Teknis, Asistensi, dan Sosialisasi) tidak dilaksanakan",Sekretariat
"Risiko Operasional","Data pendaftaran peserta diklat dalam aplikasi Registrasi Online hilang",Sekretariat
"Risiko Operasional","Peserta Ujian Melakukan Kecurangan",Sekretariat
"Risiko Operasional","Keterlambatan penetapan peserta diklat",Sekretariat
"Risiko Operasional","Barang Milik Negara (BMN) rusak/tidak bisa digunakan/usang",Sekretariat
"Risiko Operasional","Keterlambatan penerimaan diklat/seminar kit",Sekretariat
"Risiko Operasional","Pemeliharaan BMN tidak sesuai dengan SOP/Ketentuan",Sekretariat
"Risiko Operasional","Saran dari tim pendamping kepada saksi/ahli dalam pemberian keterangan pada tahap penyelidikan/penyidikan/persidangan kurang optimal",Sekretariat
